word	type	rafsi	selmaho	definition	notes	jargon	collection_note	score	glossword_1	glossword_1_meaning	glossword_2	glossword_2_meaning	glossword_3	glossword_3_meaning	glossword_4	glossword_4_meaning	glossword_5	glossword_5_meaning	glossword_6	glossword_6_meaning	glossword_7	glossword_7_meaning	glossword_8	glossword_8_meaning	glossword_9	glossword_9_meaning	glossword_10	glossword_10_meaning	glossword_11	glossword_11_meaning	glossword_12	glossword_12_meaning	glossword_13	glossword_13_meaning	glossword_14	glossword_14_meaning	glossword_15	glossword_15_meaning	glossword_16	glossword_16_meaning	glossword_17	glossword_17_meaning	glossword_18	glossword_18_meaning	glossword_19	glossword_19_meaning	glossword_20	glossword_20_meaning	placekeyword_1	placekeyword_1_meaning	placekeyword_2	placekeyword_2_meaning	placekeyword_3	placekeyword_3_meaning	placekeyword_4	placekeyword_4_meaning	placekeyword_5	placekeyword_5_meaning	placekeyword_6	placekeyword_6_meaning	placekeyword_7	placekeyword_7_meaning
ambigu'o	fu'ivla			$x_1$ is ambiguous, open to interpretations $x_2$ (plural of property of $x_1$)	See {smuni}, {sinxa}			1	ambiguous																																																					
amble	fu'ivla			$x_1$ ambles (of a horse/like a horse)				1																																																						
amblipigi	fu'ivla			$x_1$ is a tail-less whip scorpion/whip spider/amblypygid of subclade/subtaxon/subtype/breed $x_2$.				1	amblypygi		amblypygid		tailless whip scorpion		tail-less whip scorpion		whip spider																																													
ambuci	fu'ivla			$x_1$ is ambushes/waylays for $x_2$				1																																																						
ambulance	fu'ivla			$x_1$ is an ambulance/emergency vehicle transferring  $x_2$ (that are ill)	$x_1$ is an emergency vehicle that transports sick or injured people to a hospital. See {bilma}, {spita}			2	ambulance	vehicle																																																				
amfeta	fu'ivla			$x_1$ is (a quantity of) amphetamine (salts)	e.g. adderall (dextroamphetamine)			2	amphetamine	drug																																							amphetamine	drug												
amfite'atro	fu'ivla			$x_1$ is an amphitheater, an oval or round structure having tiers of seats rising outward from a central arena	See {zbepi}, {stizu}			3	amphitheater	around central arena																																																				
amfora	fu'ivla			$x_1$ is an amphora containing $x_2$				2	amphora																																																					
amgidala	fu'ivla			$x_1$ is an amygdala in organism $x_2$, with function $x_3$.	As a part of the limbic system ({menbenci'e}, {besrlimbo}), it performs a primary role in the processing and memory of emotional reactions. Cf. {besna}.			1	amygdala	brain part																																																				
amlidla	fu'ivla			$x_1$ pertains to Amidist/Pure Land Mahayana Buddhist culture/religion/ethos in aspect $x_2$				1																																																						
amnadiia	fu'ivla			$x_1$ is extremely awe-inspiring/amazing and possibly humbling to experiencer/observer $x_2$	Shouldn't be used too lightly.			2	awe-inspiring		amazing																																																			
amniio	fu'ivla			$x_1$ is the amnion of $x_2$				1	amnion																																																					
amni'o	fu'ivla			$x_1$ is the amnion	See also {amni'ota}			1	amnion																																																					
amni'ota	fu'ivla			$x_1$ is an amniote	see also {amni'o}, {cipni}, {mabru}, {respa}			2	amniote																																																					
amnota	fu'ivla			$x_1$ is an amniote of class/order/family $x_2$	see also {amnio}, {cipni}, {mabru}, {respa}			2	amniote																																																					
ampigravle	fu'ivla			$x_1$ is celery.	Cf. {spatrxapio}, {stagi}, {spati}.			1	celery																																																					
ampute	fu'ivla			$x_1$ amputates, surgically removes $x_2$ from $x_3$ leaving remainder $x_4$	See also {vimcu}, {katna}			1	amputate																																																					
amsake	fu'ivla			$x_1$ is made of/contains/is an amount of amazake from $x_2$	By komfo,amonan			1	amazake																																																					
amtisti	fu'ivla			$x_1$ is a quantity of/contains/is made of amethyst from source $x_2$.	Cf. {jadni}, {jemna}, {krili}, {rokci}.			3	amethyst																																								amethyst													
amxari	fu'ivla			$x_1$ is Amharic in aspect $x_2$.	cf. {gurnrtefi}			4	Amharic																																																					
anci	fu'ivla			$x_1$ hints, alludes, provides a clue at $x_2$ (object, event, numeral); $x_2$ is hinted	$x_1$ is the object providing a clue to $x_2$. To specify agent perceiving the hint use {ga'a}. {lo} {nu} {anci} - 'a hint / an act of hinting'			3	to allude		to hint																																																			
ancinabe	fu'ivla			$x_1$ reflects Anishinaabe culture/language in aspect $x_2$				2	Anishinaabe																																																					
andiroba	fu'ivla			$x_1$ is carap of species/variety $x_2$.				2	carap																																																					
andiuorxol	cmevla			Andy Warhol	American visual artist, 1928-1987.			1																																																						
andolu	fu'ivla			$x_1$ reflects Anatolian culture/politics/language(s)/geography in aspect $x_2$.	See also {turko}, {xai'otso}, {kafkaso}, {nanrkafkaso}.			2	Anatolian		Asia Minor	(adjectival)																																																		
andona	fu'ivla			$x_1$ is a sugar-apple/custard apple/sweetsop/soursop/cherimoya/member of genus Annona of species/variety $x_2$				2																																																						
andor	cmevla			Andorian, usually blue-skinned humanoid with antennae, in the Star Trek science fiction franchise				1																																																						
angeli	fu'ivla			$x_1$ is an angel.				3	angel																																																					
angila	fu'ivla			$x_1$ is an eel of species $x_2$.	syn. {sincykaifi'e}			4	eel																																																					
anglo	fu'ivla			$x_1$ reflects proto-English/Jute-Anglo-Saxon culture (non-Celtic peoples of Great Britain arriving and settling from near Germany approximately between A.D. 500 and A.D. 800, or cultural descendants/relatives thereof) in aspect $x_2$	Should probably exclude the Norse and the Normans (hence the approximate dating given in the definition). In some literature these people are called (or eventually become) the English whereas the people living on the island before then, who were of Romano-Celtic stock, are called the British and become known as the Welsh, Scottish, Irish, Manx, etc. They spoke Old English.			2	Angle	proto-English; Anglo-Saxon	Anglo-Saxon		proto-English		Old English		Saxons		Jutes		English	non-Celtic person from Great Britain	Ænglisc																																							
angu	fu'ivla			$x_1$ is a language.				1																																																						
anitos	cmevla			anito (Philippines), god, spirit, fairy				1																																																						
anji	fu'ivla			$x_1$ is a sinogram / Chinese hanzi / Japanese kanji (logogram) with meaning $x_2$ and radical $x_3$.	See also {lerfu}			5	Chinese character		kanji		sinogram																																																	
anji'i	fu'ivla			$x_1$ admit to themselves that they $x_2$ (ka)	See also {radji'i}, {tugni}, {jinvi}, {randa}, {curmi}, {jetnu}, {jitfa}, {stace}			3	admit	to onself																																																				
ankabuta	fu'ivla			$x_1$ is a spider (order Araneae) of species $x_2$	More specific than {jukni}. See {cinki}			3	spider																																																					
ANkaras	cmevla			Ankara	The capital city of Turkey ({gugdrtirki}). See also {tirkice}, {kulnrtirkice}, {istanbul}, {andolu}.			1	Ankara	Turkish city																																																				
anketo	fu'ivla			$x_1$ is a questionnaire, form containing a list of questions $x_2$; $x_1$ is a means of gathering information for a survey $x_2$	See also {uencu}, {prosa}, {preti}, {nabmi}, {danfu}.	UENCU_FREIME		2																																																						
ankla	fu'ivla			$x_1$ is an ankle	Also {jmacidni}			1																																																						
anli	fu'ivla			$x_1$ is a ring with inside diameter $x_2$, outside diameter $x_3$				3	ring																																																					
anlogo	fu'ivla			$x_1$ (fa'u-separated set) is analogous to $x_2$ (fa'u-separated set of same size) by relation $x_3$ (binary ka)	See {ckini}, {fa'u}			2	analogous																																																					
anme	fu'ivla			$x_1$  is an anime about plot/theme/subject/activity $x_2$, by filmmaker $x_3$, for audience $x_4$, with style/genre $x_5$ 				4																																																						
anmona	fu'ivla			$x_1$ is a quantity of / contains / is made of ammonia.	Cf. {trano}.			2	ammonia																																																					
anmonia	obsolete fu'ivla			$x_1$ is a quantity of / contains / is made of ammonia.	Cf. {trano}.			2	ammonia																																																					
anmonu	fu'ivla			$x_1$ is a quantity of / contains / is made of ammonium.	Cf. {trano}.			3	ammonium																																																					
anpesti	fu'ivla			$x_1$ is an anapest (metric foot)				1																																																						
anpeza'ofau	fu'ivla			$x_1$ (nu) is an event which takes significantly longer (to conclude (with or without completion))/has much greater duration than what $x_2$ originally expected, where 'significantly longer in duration/elapse' is determined according to standard $x_3$.	See: Hofstadter's Law. Synonymous with "{kanpyzmaditcu}".			2	Hofstadter's Law		longer than expected	of the duration of an event																																																		
anra	fu'ivla			$x_1$ parallels $x_2$, differing only in that $x_1$, and not $x_2$ has the property $x_3$, by standard $x_4$	See also {panra}			2																																																						
anseingu	fu'ivla			$x_1$ (node in a tree graph) and $x_2$ (node in the same tree graph) have an essentially-unique most recent (graph-nearest) common ancestor node A such that $x_3$ [nonnegative integer; li] is $d($A$, x_1)$ and such that $x_4$ [nonnegative integer; li] is $d($A$, x_2)$, where $d$ is the graph geodesic distance (defined to be infinite if nodes are not connected in the correct direction).	This word is much like "{tseingu}" except the focus is on the relationships between $x_1$ and $x_2$ each with their mutual most recent common ancestor; notice that this word is pretty natural, whereas "tseingu" is not (and is probably {malgli} except for the purpose of translations). For nodes $x_1$ and $x_2$ in a tree, $(x_3,x_4)$ is named by Curtis Franks to be the "ancestance between $x_1$ and $x_2$ (in that order)". In order to preserve meaning, mutual exchange of $x_1$ and/with $x_2$ must necessitate or be necessitated by mutual exchange of $x_3$ and/with $x_4$.			1	ancestance	C. Franks's neologism, genealogy																																																				
