token	jbo	rafsi	en	description	jbo description
myri	mitre	tre	meter		$x_{1}$ is $x_{2}$ meter(s) [metric unit] in length (default 1) measured in direction $x_{3}$ by standard $x_{4}$.
mwga					
mwna	mlana	mla	side		$x_{1}$ is to the side of/lateral to $x_{2}$ and facing $x_{3}$ from point of view/in-frame-of-reference $x_{4}$.
mwma					
mwxa					
mwla			polygon	$nは多邊形, 多面體	
mwsa					
mwfa					
mwha					
mwja					
mwza					
mwva					
mwra	mabla	mal	bloody execrable		$x_1$ is execrable/deplorable/wretched/shitty/awful/rotten/miserable/contemptible/crappy/inferior/low-quality in property $x_2$ by standard $x_3$; $x_1$ stinks/sucks in aspect $x_2$ according to $x_3$.
mugu					
mugo					
munu	munpi		millipede centipede		$x1$ is a millipede/centipede/isopod/[many legged terrestrial arthropod] of species/variety $x2$
muno	munje	muj mu'e	universe	$nは世界 (宇宙, 時空間)	$x_{1}$ is a universe/cosmos [complete and ordered entirety] of domain/sphere $x_{2}$ defined by rules $x_{3}$.
mumu	mluni	lun	satellite moon	$nは衞星 (月)	$x_{1}$ is a satellite/moon orbiting $x_{2}$ with characteristics $x_{3}$, orbital parameters $x_{4}$.
mumo	mulno	mul mu'o	complete finished		$x_{1}$ (event) is complete/done/finished; $x_{1}$ (object) has become whole in property $x_{2}$ by standard $x_{3}$.
muxu	muxne		mucus ooze		$x_1$ is slime/mucus/ooze produced by $x_2$
muxo	mutce	tce	extreme much		$x_{1}$ is much/extreme in property $x_{2}$ (ka), towards $x_{3}$ extreme/direction; $x_{1}$ is, in $x_{2}$, very $x_{3}$.
musu	mukti	muk mu'i	motive		$x_{1}$ (action/event/state) motivates/is a motive/incentive for action/event $x_{2}$, per volition of $x_{3}$.
muso	murse		glimmering		$x_{1}$ is the [astronomical] twilight/dawn/dusk/half-light/glimmering of day $x_{2}$ at location $x_{3}$.
mufo	muslo	mus	Islamic Muslim		$x_{1}$ pertains to the Islamic/Moslem/Koranic [Quranic] culture/religion/nation in aspect $x_{2}$.
muhu	mruli	mru	hammer		$x_{1}$ [tool] is a hammer for/hammers $x_{2}$ [target] consisting of weight/head $x_{3}$ propelled by $x_{4}$.
muho					
muzu	mudri	mud	wood		$x_{1}$ is a quantity of/is made of/contains wood/lumber from tree(s) of type/species $x_{2}$.
muzo	muzga	muz	museum		$x_{1}$ is a museum for preserving [and possibly exhibiting] $x_{2}$ at location $x_{3}$.
muvo	muvdu	muv mu'u	move	$nは動く (速度=有)	$x_{1}$ (object) moves to destination/receiver $x_{2}$ [away] from origin $x_{3}$ over path/route $x_{4}$.
muru	mupli	mup	example sample		$x_{1}$ is an example/sample/specimen/instance/case/illustration of common property(s) $x_{2}$ of set $x_{3}$.
muro	murta	mur mu'a	curtain		$x_{1}$ is a curtain/blinds/drapes for covering/obscuring aperture $x_{2}$, and made of material $x_{3}$.
mege					
mega					
meni	menli	men	mind		$x_{1}$ is a mind/intellect/psyche/mentality/[consciousness] of body $x_{2}$.
mene	menre		among		$x_1$ is/are among the referent(s) of $x_2$
menq	mentu	met me'u	minute		$x_{1}$ is $x_{2}$ minutes in duration (default is 1 minute) by standard $x_{3}$.
mena	megdo	meg	1E6		$x_{1}$ is a million [$10^6$] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).
memi	melmi				$x_1$ is honey produced by $x_2$
meme					
memq					
mema					
mexe					
mexa	mexno	mex	Mexican		$x_{1}$ reflects Mexican culture/nationality in aspect $x_{2}$.
meli	manci	mac	wonder		$x_{1}$ feels wonder/awe/marvels about $x_{2}$.
mele	matce				(moved to "{matxe}") $x_1$
melq	mekca		makeup cosmetics		$x_1$ is cosmetics/makeup of of composition $x_2$
mela	mleca	mec me'a	less		$x_{1}$ is less than $x_{2}$ in property/quantity $x_{3}$ (ka/ni) by amount $x_{4}$.
mese	mekso	mek me'o	MEX		$x_{1}$ [quantifier/expression] is a mathematical expression interpreted under rules/convention $x_{2}$.
mesa	mespo		Mesopotamian		$x_1$ reflects Mesopotamian geography/chronology/culture/language/identity in aspect $x_2$
mefi	metfo		metaphor		$x_1$ (bridi) is a metaphor/figurative expression having literal meaning $x_2$ to observer $x_3$
mefe					
mefq					
mefa					
mehe					
meha					
meji	meljo	mej	Malaysian		$x_{1}$ reflects Malaysian/Malay culture/nationality/language in aspect $x_{2}$.
meje	mledi	led	mold		$x_{1}$ is a mold/fungus/mushrooms/truffles of species/strain $x_{2}$ parasitic/growing on $x_{3}$.
mejq					
meja	merli	mre	measure		$x_{1}$ (agent) measures/evaluates $x_{2}$ [quantity] as $x_{3}$ units on scale $x_{4}$ (si'o), with accuracy $x_{5}$.
meze	medzo				$x_1$ meditates about $x_2$ using practice/method/study $x_3$
meza					
mevi	mebri	meb	brow forehead		$x_{1}$ is a/the brow/forehead [projecting flat/smooth head/body-part] of $x_{2}$.
meve					
mevq					
meva	melbi	mel mle	beautiful handsome		$x_{1}$ is beautiful/pleasant to $x_{2}$ in aspect $x_{3}$ (ka) by aesthetic standard $x_{4}$.
meri	mensi	mes me'i	sister		$x_{1}$ is a sister of/sororal to $x_{2}$ by bond/tie/standard/parent(s) $x_{3}$; [not necessarily biological].
mere	metro		infrastructure metro		$x_1$ is localized public transport system for city/metropolitan region/locale/region $x_2$ using infrastructure/facilities/means of transportation $x_3$.
merq	merko	mer	American U.S.		$x_{1}$ pertains to USA/American culture/nationality/dialect in aspect $x_{2}$.
mera	smela		almond apricot		$x_1$ is a plum/peach/cherry/apricot/almond/sloe [fruit] (genus Prunus) of species/variety $x_2$
mqge					
mqne					
mqme					
mqxe					
mqle					
mqse					
mqfe					
mqhe					
mqje					
mqze					
mqve					
mqre	mlatu	lat	cat	$nは猫 (猫屬)	$x_{1}$ is a cat/[puss/pussy/kitten] [feline animal] of species/breed $x_{2}$; (adjective:) $x_{1}$ is feline.
mogu					
mogo					
moga					
monu	moklu	mol mo'u	mouth	$nは口	$x_{1}$ is a/the mouth/oral cavity [body-part] of $x_{2}$; (metaphor: entrance/intake for consumption).
mono	matne		butter		$x_{1}$ is a quantity of/contains butter/oleo/margarine/shortening from source $x_{2}$.
mona	morna	mon mo'a	pattern		$x_{1}$ is/reflects/represents a pattern of forms/events $x_{2}$ arranged according to structure $x_{3}$.
momu					
momo	mormo		Mormon Latter-day Saint		$m_1$ pertains to Latter-day Saint (Mormon) religion/culture/ethnicity in aspect $m_2$.
moma	mamta	mam	mother		$x_{1}$ is a mother of $x_{2}$; $x_{1}$ bears/mothers/acts maternally toward $x_{2}$; [not necessarily biological].
moxu					
moxo	morko	mor	Moroccan		$x_{1}$ reflects Moroccan culture/nationality in aspect $x_{2}$.
moxa	moxna		insufficient amount of not enough		$x_1$ is not enough/an insufficient amount/too little/too few of $x_2$ by standard $x_3$.
mola	mucti	mut	immaterial		$x_{1}$ is immaterial/not physical/without material form.
mosu	mokca	moc	point	$nは點 (位置)	$x_{1}$ is a point/instant/moment [0-dimensional shape/form] in/on/at time/place $x_{2}$.
moso	morsi	mro	dead	$nは死ぬ (生命=最小)	$x_{1}$ is dead/has ceased to be alive.
mosa	mosra	mos	friction		$x_{1}$ is friction [force opposing motion] due to contact/rubbing between $x_{2}$ and $x_{3}$; (fe) $x_{2}$ rubs $x_{3}$.
mofo					
mofa					
mohu	modju		2-parity color		$x_1$ (li; number) is congruent to $x_2$ (li; number; see description for canonical/traditional/contextless default usage) modulo $x_3$ (li; number); $\frac{(x_1 - x_2)}{x_3}$ is an integer.
moho					
moha					
moja	mraji		rye		$x_{1}$ is a quantity of rye [grain] of species/strain $x_{2}$.
mozu					
mozo					
moza					
movo					
mova					
moru	molro	mo'o	mole		$x_{1}$ is $x_{2}$ mole(s) [metric unit] in substance (default is 1) by standard $x_{3}$.
moro	molki	mlo	mill		$x_{1}$ is a mill/foundry/industrial plant/[assembly line] performing process $x_{2}$.
mora	morji	moj mo'i	remember		$x_{1}$ remembers/recalls/recollects fact(s)/memory $x_{2}$ (du'u) about subject $x_{3}$.
magw					
mage					
mago					
maga					
manw	mapni		cotton		$x_{1}$ is a quantity of/contains/is made of cotton [type of fabric/material].
mane	mansa		satisfy		$x_{1}$ satisfies evaluator $x_{2}$ in property (ka)/state $x_{3}$.
mano	masno	sno	slow	$nは遲い (速度=小)	$x_{1}$ is slow/sluggish at doing/being/bringing about $x_{2}$ (event/state).
mana	manva		10,000		x1 is ten thousand [10000; $10^4$] of x2 in dimension/aspect x3
mamw	manti		ant	$nは蟻	$x_{1}$ is an ant of species/breed $x_{2}$.
mame	macnu	cnu	manual		$x_{1}$ (event/action/process) is manual [not automatic] in function $x_{2}$ under conditions $x_{3}$.
mamo	marbi	mra	shelter		$x_{1}$ is a shelter/haven/refuge/retreat/harbor for/protecting $x_{2}$ from danger/threat $x_{3}$.
mama	marna		hemp		$x_{1}$ is a quantity of hemp/marijuana/jute of species/strain $x_{2}$.
maxw	matci		mat		$x_{1}$ is a mat/pad/mattress/pallet [flat, soft, dense form] of material $x_{2}$.
maxe	manku	man	dark	$nは暗い (明度=小)	$x_{1}$ is dark/lacking in illumination.
maxo	maxri	xri	wheat		$x_{1}$ is a quantity of wheat [grain] of species/strain $x_{2}$.
maxa	marxa	max	mash	$nは$aを咀嚼する	$x_{1}$ [force] mashes/crushes/squashes/smashes $x_{2}$ into pulp/mash/crumbs/deformed mass $x_{3}$.
male	marce	ma'e	vehicle		$x_{1}$ is a vehicle/mode of transport carrying $x_{2}$ in/on surface/medium $x_{3}$, propelled by $x_{4}$.
mala	makcu	ma'u	mature		$x_{1}$ is mature/ripe/fully-grown/adult in development-quality $x_{2}$ (ka).
masw	matli		linen		$x_{1}$ is a quantity of/contains/is made of linen/flax [type of fabric/material].
mase	masti	ma'i	month		$x_{1}$ is $x_{2}$ months in duration (default is 1 month) by month standard $x_{3}$.
maso	masli		mass		$x_1$ is the mass (fundamental property of matter) of $x_2$.
masa	maksi	mak	magnet		$x_{1}$ is magnetic [adjective] producing magnetic field $x_{2}$.
mafw	makfa	maf	magic		$x_{1}$ is magic/supernatural/sorcery/witchcraft/wizardry to $x_{2}$, performed by person/force/deity $x_{3}$.
mafe	mapti	mat	fit proper		$x_{1}$ fits/matches/suits/is compatible/appropriate/corresponds to/with $x_{2}$ in property/aspect $x_{3}$.
mafo	manfo		uniform		$x_{1}$ (object/event) is uniform/homogeneous in property $x_{2}$ (ka).
mafa	mapku	map	cap		$x_{1}$ is a cap/hat/crown/helmet/piece of headgear [head-top garment] of material $x_{2}$.
mahw					
mahe	matxe		magnetic-north magnetic-south		$x_1$ is magnetism/magnetization (or magnetic charge or magnetic current; or part of a magnetic dipole) in/on/of/produced by/evinced by/associated with $x_2$ (monopole or a dipole, taken in whole or just as a single side/part/pole thereof) of polarity/quantity $x_3$ (default: positive, which indicates magnetic-south in English).
maho	mango		mango		$x_1$ is a mango [fruit] of species/variety $x_2$.
maha	matra		motor engine		$x_{1}$ is a motor/engine, driving/propelling/providing power to $x_{2}$.
maje	majgo		Hungarian		$x_1$ reflects Hungarian culture/language/nationality in aspect $x_2$
maja	marji	maj mai	material matter		$x_{1}$ is material/stuff/matter of type/composition including $x_{2}$ in shape/form $x_{3}$.
mazw					
maze	marde	mad	morals		$x_{1}$ are the ethics/morals/moral standards/ethical standards of $x_{2}$ (ind./mass) about situation $x_{3}$.
mazo					
maza	mapra		airy cushiony		$x_1$ is a quantity of fluff of composition/structure/characterization/substance $x_2$; $x_1$ is fluffy/airy/soft/fuzzy in texture
mavw	mabru	mab	mammal	$nは哺乳綱動物	$x_{1}$ is a mammal/'animal'/beast of species $x_{2}$.
mave	malve				$x_1$ is mauve [color]
mavo	mavji	mav	oats		$x_{1}$ is a quantity of oats [grain] of species/strain $x_{2}$.
mava	majvu		pathogen		$x_1$ is a microörganism, virus, protein, spore, pathogen, or other such substance which causes or is intimately associated with disease(s)/symptoms $x_2$.
marw	manri	mar	reference		$x_{1}$ is a frame of reference/standard for observing/measuring/determining $x_{2}$, with/by rules $x_{3}$.
mare	malbu		owl		$x_1$ is an owl (nocturnal bird of prey) of species/variety $x_2$
maro	malsi	mas	temple		$x_{1}$ is a temple/church/sanctuary/synagogue/shrine of religion $x_{2}$ at location/serving area $x_{3}$.
mara	margu	mag	mercury		$x_{1}$ is a quantity of/contains/made of mercury/quicksilver; [metaphor: fluid metal; temperature].
cige					
cini	ginka	gik	camp		$x_{1}$ is a camp/encampment/temporary residence of $x_{2}$ at location $x_{3}$.
ciny	gigdo	gig gi'o	1E9		$x_{1}$ is a billion [British milliard] [$10^9$] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).
cine	jgina	gin	gene		$x_{1}$ is a gene of creature [or locus on creature] $x_{2}$ determining trait/process $x_{3}$.
cimi	ckini	ki'i	related	$nは$aの血族	$x_{1}$ is related to/associated with/akin to $x_{2}$ by relationship $x_{3}$.
cimy	gismu	gim gi'u	root word		$x_{1}$ is a (Lojban) root word expressing relation $x_{2}$ among argument roles $x_{3}$, with affix(es) $x_{4}$.
cime					
cixe	zgike	zgi gi'e	music		$x_{1}$ is music performed/produced by $x_{2}$ (event).
cili	crida	rid	demon elf		$x_{1}$ is a fairy/elf/gnome/brownie/pixie/goblin/kobold [mythical humanoid] of mythos/religion $x_{2}$.
cily					
cile					
cise	ciska	ci'a	write	$nはを$a (表現) を書く	$x_{1}$ inscribes/writes $x_{2}$ on display/storage medium $x_{3}$ with writing implement $x_{4}$; $x_{1}$ is a scribe.
cifi					
cify					
cife	glife		glyph		$x_1$ is a glyph, elemental symbol within an agreed set of symbols, intended to represent character $x_2$
cihe					
ciji	skiji	sij	ski		$x_{1}$ is a ski/skid/skate/runner for surface (of material) $x_{2}$ supporting skier/skater/sled/cargo $x_{3}$.
cijy					
cije					
cize					
civi	gidva	gid gi'a	conduct guide	$nは$aを導く	$x_{1}$ (person/object/event) guides/conducts/pilots/leads $x_{2}$ (active participants) in/at $x_{3}$ (event).
civy					
cive					
ciri	girzu	gir gri	group		$x_{1}$ is group/cluster/team showing common property (ka) $x_{2}$ due to set $x_{3}$ linked by relations $x_{4}$.
ciry					
cire	jgira	jgi	pride	$nは$aを誇る (矜恃=+)	$x_{1}$ (person) feels/has pride in/about $x_{2}$ (abstraction).
cyni					
cymi					
cyli					
cyfi					
cyji					
cyvi					
cyri	glico	gic gli	English		$x_{1}$ is English/pertains to English-speaking culture in aspect $x_{2}$.
cwga					
cwna	grake	gra	gram		$x_{1}$ is $x_{2}$ gram(s) [metric unit] in mass (default is 1) by standard $x_{3}$.
cwma					
cwxa					
cwla					
cwsa					
cwfa					
cwha					
cwja	gradu	rau	unit degree		$x_{1}$ [magnitude] is a unit/degree of/on scale/reference standard $x_{2}$ (si'o) measuring property $x_{3}$.
cwza					
cwva					
cwra	grava		gravitation gravity		$x_1$ pertains/is related to/reflects (the) gravitational interaction [fundamental]/gravity in manner/with properties/in state/with realization $x_2$, coupling to $x_3$ in manner/with strength $x_4$
cugu					
cugo	gluli		glue adhesive		$x_1$ is glue/adhesive of composition $x_2$
cunu	gurni	gru	grain		$x_{1}$ is grain/[British: corn]/cereal from plant/species $x_{2}$.
cuno	gundi	gud	industry		$x_{1}$ is industry/industrial/systematic manufacturing activity producing $x_{2}$ by process/means $x_{3}$.
cumu	gunta	gut	attack		$x_{1}$ (person/mass) attacks/invades/commits aggression upon victim $x_{2}$ with goal/objective $x_{3}$.
cumo	gunma	gum	jointly mass		$x_{1}$ is a mass/team/aggregate/whole, together composed of components $x_{2}$, considered jointly.
cuxu	gunka	gun gu'a	work	$nは勞働する	$x_{1}$ [person] labors/works on/at $x_{2}$ [activity] with goal/objective $x_{3}$.
cuxo	gutci	guc	cubit		$x_{1}$ is $x_{2}$ (default 1) short local distance unit(s) [non-metric], standard $x_{3}$, $x_{4}$ subunits.
cusu	gusta		restaurant		$x_{1}$ is a restaurant/cafe/diner serving type-of-food $x_{2}$ to audience $x_{3}$.
cuso	gunse		goose		$x_{1}$ is a goose/[gander] of species/breed $x_{2}$.
cufo	guska	guk	scrape		$x_{1}$ blade/scraper/erosive scrapes/erodes/abrades $x_{2}$ from $x_{3}$.
cuhu	gugde	gug gu'e	country		$x_{1}$ is the country of peoples $x_{2}$ with land/territory $x_{3}$; (people/territory relationship).
cuho					
cuzu	gusni	gus gu'i	illumine light	$nは光 (電磁波)	$x_1$ [energy] is light/illumination illuminating $x_2$ from light source $x_3$.
cuzo	guzme	guz zme	melon		$x_{1}$ is a melon/squash [fruit/plant] of species/strain $x_{2}$.
cuvo	gubni	gub	public		$x_{1}$ is public/un-hidden/open/jointly available to/owned by all among community $x_{2}$ (mass).
curu	gumri		mushroom		$x_1$ is a mushroom of species $x_2$.
curo	kurki		bitter		$x_{1}$ is bitter/acrid/sharply disagreeable to observer/sense $x_{2}$.
cege					
cega					
ceni	gento	get ge'o	Argentinian		$x_{1}$ reflects Argentinian culture/nationality in aspect $x_{2}$.
cene	genxu	gex	hook		$x_{1}$ is a hook/crook [shape/form] of material $x_{2}$.
cenq	gerna	gen ge'a	grammar		$x_{1}$ is the grammar/rules/defining form of language $x_{2}$ for structure/text $x_{3}$.
cena	genja	gej	root	$nは根	$x_{1}$ is a root [body-part] of plant/species $x_{2}$; [metaphor: immobile, supporting, nourishing].
cemi	germo		Germanic		$x_1$ reflects Germanic culture/language in aspect $x_2$.
